#   SiteID         X(m)           Y(m)           Z(m)        Freq(Hz)       Re(Tzx)        Im(Tzx)        Re(Tzy)        Im(Tzy)
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    7.943001E+02   -8.207511E-02   -1.038819E-01    4.998184E-02   -6.855868E-03
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    3.981003E+02   -4.580088E-02   -7.543664E-02    5.244771E-02   -3.903150E-03
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    1.995001E+02   -2.132221E-02   -5.702444E-02    5.386949E-02   -4.083246E-04
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    1.000000E+02   -1.972703E-03   -4.362444E-02    5.315465E-02    3.985220E-03
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    5.009995E+01    1.361874E-02   -3.299416E-02    4.900049E-02    7.444859E-03
Line01-001   -1.250000E+01    1.250000E+01    1.011500E+02    2.510002E+01    2.735871E-02   -2.240430E-02    4.513126E-02    7.008485E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    7.943001E+02   -8.498416E-02   -1.023103E-01    4.511544E-02   -7.438012E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    3.981003E+02   -4.825423E-02   -7.557115E-02    4.827790E-02   -5.059043E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    1.995001E+02   -2.296227E-02   -5.780866E-02    5.048040E-02   -1.692089E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    1.000000E+02   -2.911977E-03   -4.443459E-02    5.040030E-02    2.786985E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    5.009995E+01    1.311512E-02   -3.356332E-02    4.676539E-02    6.321157E-03
Line01-002    1.250000E+01    1.250000E+01    1.011500E+02    2.510002E+01    2.703812E-02   -2.268389E-02    4.347473E-02    6.002439E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    7.943001E+02   -8.350796E-02   -9.534640E-02    4.369028E-02   -5.807420E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    3.981003E+02   -4.785220E-02   -7.227404E-02    4.662258E-02   -4.406779E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    1.995001E+02   -2.258465E-02   -5.633134E-02    4.890839E-02   -1.538021E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    1.000000E+02   -2.409194E-03   -4.371808E-02    4.892923E-02    2.693811E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    5.009995E+01    1.365238E-02   -3.310110E-02    4.542857E-02    6.009686E-03
Line01-003    3.750000E+01    1.250000E+01    1.011500E+02    2.510002E+01    2.748293E-02   -2.227310E-02    4.244865E-02    5.567417E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    7.943001E+02   -6.914280E-02   -7.233550E-02    4.194659E-02   -4.322028E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    3.981003E+02   -3.881723E-02   -5.868521E-02    4.488119E-02   -3.899826E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    1.995001E+02   -1.609126E-02   -4.800304E-02    4.733013E-02   -1.459338E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    1.000000E+02    2.441037E-03   -3.835621E-02    4.745844E-02    2.566967E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    5.009995E+01    1.730692E-02   -2.948983E-02    4.409420E-02    5.671148E-03
Line01-004    6.250000E+01    1.250000E+01    1.011500E+02    2.510002E+01    3.019266E-02   -1.975396E-02    4.143621E-02    5.114542E-03
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    7.943001E+02   -6.619526E-02   -6.314389E-02    3.462335E-02   -7.765974E-03
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    3.981003E+02   -3.742112E-02   -5.403803E-02    3.933791E-02   -6.990414E-03
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    1.995001E+02   -1.499892E-02   -4.564314E-02    4.309568E-02   -3.931789E-03
