N_TRX 6
IGNORE -9999


DATATYPE MTT
FREQUENCY 25.10002
N_RECV 1117
19987.5 -12.5 975.0 i i i i i i i i
3.487500e+03 2.512500e+03 1.250000e+03 3.328203e-02 3.784842e-02 1.248231e-02 1.736120e-02 -4.619009e-02 2.462666e-02 1.682622e-02 1.775222e-02
3.587500e+03 2.512500e+03 1.225000e+03 -1.807857e-02 3.784842e-02 4.092901e-02 1.736120e-02 -3.479619e-02 2.462666e-02 1.527999e-02 1.775222e-02
3.687500e+03 2.512500e+03 1.225000e+03 2.935006e-03 3.784842e-02 5.067421e-02 1.736120e-02 -4.233635e-02 2.462666e-02 2.417770e-02 1.775222e-02
3.787500e+03 2.512500e+03 1.200000e+03 -1.274740e-02 3.784842e-02 -7.214297e-04 1.736120e-02 2.074406e-02 2.462666e-02 1.080125e-02 1.775222e-02
3.887500e+03 2.512500e+03 1.200000e+03 -6.198735e-02 3.784842e-02 2.899624e-02 1.736120e-02 -3.028743e-02 2.462666e-02 6.412796e-02 1.775222e-02
3.987500e+03 2.512500e+03 1.200000e+03 5.978435e-02 3.784842e-02 2.646784e-02 1.736120e-02 -7.439822e-03 2.462666e-02 5.366987e-02 1.775222e-02
4.087500e+03 2.512500e+03 1.200000e+03 -2.695262e-02 3.784842e-02 3.119875e-02 1.736120e-02 4.778053e-03 2.462666e-02 5.813011e-02 1.775222e-02
4.187500e+03 2.512500e+03 1.200000e+03 2.495854e-02 3.784842e-02 1.180007e-02 1.736120e-02 1.802363e-02 2.462666e-02 8.986551e-02 1.775222e-02
4.287500e+03 2.512500e+03 1.200000e+03 8.329008e-02 3.784842e-02 6.118726e-02 1.736120e-02 2.117611e-02 2.462666e-02 8.032165e-02 1.775222e-02
4.387500e+03 2.512500e+03 1.200000e+03 1.873943e-02 3.784842e-02 4.512018e-02 1.736120e-02 1.617613e-02 2.462666e-02 1.152814e-01 1.775222e-02
4.487500e+03 2.512500e+03 1.200000e+03 8.680531e-02 3.784842e-02 6.160338e-02 1.736120e-02 9.420270e-03 2.462666e-02 9.488893e-02 1.775222e-02
4.587500e+03 2.512500e+03 1.175000e+03 7.309082e-02 3.784842e-02 8.096396e-02 1.736120e-02 7.315815e-03 2.462666e-02 1.316332e-01 1.775222e-02
4.687500e+03 2.512500e+03 1.175000e+03 3.708201e-03 3.784842e-02 5.563302e-02 1.736120e-02 3.981235e-02 2.462666e-02 1.014956e-01 1.775222e-02
4.787500e+03 2.512500e+03 1.150000e+03 6.129250e-02 3.784842e-02 4.859455e-02 1.736120e-02 5.352902e-03 2.462666e-02 1.086221e-01 1.775222e-02
4.887500e+03 2.512500e+03 1.150000e+03 6.928714e-02 3.784842e-02 8.305016e-02 1.736120e-02 9.377290e-02 2.462666e-02 1.417032e-01 1.775222e-02
4.987500e+03 2.512500e+03 1.150000e+03 1.204381e-01 3.784842e-02 1.136279e-01 1.736120e-02 3.070837e-02 2.462666e-02 1.706584e-01 1.775222e-02
5.087500e+03 2.512500e+03 1.175000e+03 5.837080e-02 3.784842e-02 9.651533e-02 1.736120e-02 4.710610e-02 2.462666e-02 1.714659e-01 1.775222e-02
5.187500e+03 2.512500e+03 1.175000e+03 8.767870e-02 3.784842e-02 8.269369e-02 1.736120e-02 1.853330e-02 2.462666e-02 1.614072e-01 1.775222e-02
5.287500e+03 2.512500e+03 1.200000e+03 1.399885e-01 3.784842e-02 9.166871e-02 1.736120e-02 3.766708e-02 2.462666e-02 1.574600e-01 1.775222e-02
5.387500e+03 2.512500e+03 1.200000e+03 1.420249e-01 3.784842e-02 1.125028e-01 1.736120e-02 8.362614e-02 2.462666e-02 1.531087e-01 1.775222e-02
5.487500e+03 2.512500e+03 1.200000e+03 1.678861e-01 3.784842e-02 1.064043e-01 1.736120e-02 7.841566e-02 2.462666e-02 1.403420e-01 1.775222e-02
5.587500e+03 2.512500e+03 1.225000e+03 1.550020e-01 3.784842e-02 1.174716e-01 1.736120e-02 4.403812e-02 2.462666e-02 1.634551e-01 1.775222e-02
5.687500e+03 2.512500e+03 1.225000e+03 1.448854e-01 3.784842e-02 1.256511e-01 1.736120e-02 1.568561e-02 2.462666e-02 1.506747e-01 1.775222e-02
5.787500e+03 2.512500e+03 1.250000e+03 3.937217e-02 3.784842e-02 1.062853e-01 1.736120e-02 5.265151e-02 2.462666e-02 1.744027e-01 1.775222e-02
5.887500e+03 2.512500e+03 1.225000e+03 1.094697e-01 3.784842e-02 1.135686e-01 1.736120e-02 7.590172e-02 2.462666e-02 1.324806e-01 1.775222e-02
5.987500e+03 2.512500e+03 1.225000e+03 1.487233e-01 3.784842e-02 1.111355e-01 1.736120e-02 6.396906e-02 2.462666e-02 1.517479e-01 1.775222e-02
6.087500e+03 2.512500e+03 1.225000e+03 1.430742e-01 3.784842e-02 1.371564e-01 1.736120e-02 8.279220e-02 2.462666e-02 1.754418e-01 1.775222e-02
6.187500e+03 2.512500e+03 1.225000e+03 1.603584e-01 3.784842e-02 1.272263e-01 1.736120e-02 5.481471e-02 2.462666e-02 1.688459e-01 1.775222e-02
6.287500e+03 2.512500e+03 1.250000e+03 2.092724e-01 3.784842e-02 1.024830e-01 1.736120e-02 5.290081e-02 2.462666e-02 1.368752e-01 1.775222e-02
6.387500e+03 2.512500e+03 1.250000e+03 2.037494e-01 3.784842e-02 1.189329e-01 1.736120e-02 3.260456e-02 2.462666e-02 1.613229e-01 1.775222e-02
6.487500e+03 2.512500e+03 1.250000e+03 1.781642e-01 3.784842e-02 1.151800e-01 1.736120e-02 1.087195e-01 2.462666e-02 1.163315e-01 1.775222e-02
6.587500e+03 2.512500e+03 1.250000e+03 1.921039e-01 3.784842e-02 1.595270e-01 1.736120e-02 1.154695e-01 2.462666e-02 1.333868e-01 1.775222e-02
6.687500e+03 2.512500e+03 1.250000e+03 1.987391e-01 3.784842e-02 1.453358e-01 1.736120e-02 1.252634e-01 2.462666e-02 1.158445e-01 1.775222e-02
6.787500e+03 2.512500e+03 1.250000e+03 1.931064e-01 3.784842e-02 1.087490e-01 1.736120e-02 1.220223e-01 2.462666e-02 1.127316e-01 1.775222e-02
6.887500e+03 2.512500e+03 1.250000e+03 3.062894e-01 3.784842e-02 1.255009e-01 1.736120e-02 1.282010e-01 2.462666e-02 6.689516e-02 1.775222e-02
6.987500e+03 2.512500e+03 1.250000e+03 2.756700e-01 3.784842e-02 1.424077e-01 1.736120e-02 9.578202e-02 2.462666e-02 1.105808e-01 1.775222e-02
3.487500e+03 2.612500e+03 1.225000e+03 -2.524055e-02 3.784842e-02 2.802046e-03 1.736120e-02 -2.170405e-03 2.462666e-02 5.213038e-02 1.775222e-02
3.587500e+03 2.612500e+03 1.225000e+03 1.098764e-02 3.784842e-02 2.294912e-03 1.736120e-02 1.191252e-02 2.462666e-02 3.567022e-02 1.775222e-02
3.687500e+03 2.612500e+03 1.225000e+03 7.668280e-02 3.784842e-02 3.044988e-02 1.736120e-02 -1.131364e-02 2.462666e-02 2.918637e-02 1.775222e-02
3.787500e+03 2.612500e+03 1.225000e+03 1.182901e-02 3.784842e-02 7.136152e-02 1.736120e-02 -7.678117e-03 2.462666e-02 4.657751e-02 1.775222e-02
3.887500e+03 2.612500e+03 1.200000e+03 5.807068e-02 3.784842e-02 4.136914e-02 1.736120e-02 -4.722448e-02 2.462666e-02 4.058862e-02 1.775222e-02
3.987500e+03 2.612500e+03 1.200000e+03 4.190193e-02 3.784842e-02 3.915702e-02 1.736120e-02 -1.048467e-02 2.462666e-02 2.007363e-02 1.775222e-02
4.087500e+03 2.612500e+03 1.200000e+03 3.419128e-02 3.784842e-02 4.163364e-03 1.736120e-02 4.773153e-02 2.462666e-02 4.680688e-02 1.775222e-02
4.187500e+03 2.612500e+03 1.175000e+03 1.135137e-01 3.784842e-02 3.744552e-02 1.736120e-02 -5.610248e-03 2.462666e-02 7.001251e-02 1.775222e-02
4.287500e+03 2.612500e+03 1.175000e+03 3.387789e-02 3.784842e-02 4.204891e-02 1.736120e-02 4.589486e-02 2.462666e-02 9.007564e-02 1.775222e-02
4.387500e+03 2.612500e+03 1.175000e+03 4.441746e-02 3.784842e-02 2.996711e-02 1.736120e-02 4.042340e-02 2.462666e-02 1.194485e-01 1.775222e-02
4.487500e+03 2.612500e+03 1.175000e+03 7.513675e-02 3.784842e-02 1.077677e-02 1.736120e-02 4.860249e-02 2.462666e-02 8.709279e-02 1.775222e-02
4.587500e+03 2.612500e+03 1.175000e+03 3.598891e-02 3.784842e-02 4.539909e-02 1.736120e-02 6.253852e-02 2.462666e-02 1.387140e-01 1.775222e-02
4.687500e+03 2.612500e+03 1.150000e+03 1.198614e-02 3.784842e-02 5.265655e-02 1.736120e-02 8.521489e-02 2.462666e-02 1.257355e-01 1.775222e-02
4.787500e+03 2.612500e+03 1.150000e+03 7.754766e-02 3.784842e-02 7.671379e-02 1.736120e-02 3.060515e-02 2.462666e-02 1.338455e-01 1.775222e-02
4.887500e+03 2.612500e+03 1.175000e+03 6.815531e-02 3.784842e-02 1.075522e-01 1.736120e-02 4.781661e-02 2.462666e-02 1.677085e-01 1.775222e-02
4.987500e+03 2.612500e+03 1.175000e+03 8.467499e-02 3.784842e-02 9.634223e-02 1.736120e-02 8.471034e-02 2.462666e-02 1.633160e-01 1.775222e-02
5.087500e+03 2.612500e+03 1.175000e+03 6.057980e-02 3.784842e-02 8.606311e-02 1.736120e-02 5.879527e-02 2.462666e-02 1.619421e-01 1.775222e-02
5.187500e+03 2.612500e+03 1.175000e+03 1.159362e-01 3.784842e-02 9.915693e-02 1.736120e-02 6.502106e-02 2.462666e-02 1.711864e-01 1.775222e-02
5.287500e+03 2.612500e+03 1.200000e+03 8.870195e-02 3.784842e-02 8.453213e-02 1.736120e-02 7.657513e-02 2.462666e-02 1.684857e-01 1.775222e-02
5.387500e+03 2.612500e+03 1.200000e+03 1.542950e-01 3.784842e-02 8.339004e-02 1.736120e-02 6.721512e-02 2.462666e-02 1.500164e-01 1.775222e-02
5.487500e+03 2.612500e+03 1.200000e+03 1.223346e-01 3.784842e-02 9.963043e-02 1.736120e-02 8.687802e-02 2.462666e-02 1.544302e-01 1.775222e-02
5.587500e+03 2.612500e+03 1.225000e+03 1.555667e-01 3.784842e-02 8.843316e-02 1.736120e-02 1.928135e-02 2.462666e-02 1.490911e-01 1.775222e-02
5.687500e+03 2.612500e+03 1.225000e+03 2.190590e-01 3.784842e-02 8.244211e-02 1.736120e-02 5.924044e-02 2.462666e-02 1.776793e-01 1.775222e-02
5.787500e+03 2.612500e+03 1.250000e+03 1.272824e-01 3.784842e-02 8.258851e-02 1.736120e-02 5.329954e-02 2.462666e-02 1.685246e-01 1.775222e-02
